gene_id	gene_name	GF1	GF2	GF_noICI1	GF_noICI2	ctrl1	ctrl2	effector1	effector2
ENSMUSG00000033845	Mrpl15	4346.0	5949.0	3972.0	3197.0	5843.0	4796.0	6189.0	4929.0
ENSMUSG00000025903	Lypla1	4009.0	4668.0	3524.0	2855.0	4656.0	3890.0	5131.0	3951.0
ENSMUSG00000033813	Tcea1	8277.0	9458.0	7596.0	6434.0	10219.0	8679.0	9483.0	8284.0
ENSMUSG00000033793	Atp6v1h	2846.0	3223.0	2370.0	2036.0	3335.0	2744.0	3236.0	2598.0
ENSMUSG00000025907	Rb1cc1	3378.0	4171.0	3182.0	2934.0	3809.0	3936.0	4167.0	4034.0
ENSMUSG00000090031	4732440D04Rik	217.0	293.0	257.0	171.0	308.0	285.0	368.0	247.0
ENSMUSG00000051285	Pcmtd1	2759.0	3305.0	2562.0	2214.0	3554.0	3007.0	3444.0	2826.0
ENSMUSG00000097797	Gm26901	21.0	35.0	37.0	43.0	41.0	41.0	46.0	40.0
ENSMUSG00000061024	Rrs1	1818.0	2475.0	1785.0	1456.0	2432.0	2230.0	2924.0	2314.0
ENSMUSG00000025911	Adhfe1	10.0	13.0	9.0	6.0	14.0	11.0	14.0	6.0
ENSMUSG00000025912	Mybl1	25.0	31.0	20.0	12.0	20.0	23.0	15.0	22.0
ENSMUSG00000045210	Vcpip1	1882.0	2241.0	1698.0	1558.0	2191.0	2181.0	2400.0	2204.0
ENSMUSG00000097893	1700034P13Rik	44.0	52.0	46.0	34.0	57.0	74.0	50.0	43.0
ENSMUSG00000025915	Sgk3	184.0	225.0	174.0	241.0	223.0	258.0	179.0	244.0
ENSMUSG00000098234	Snhg6	1548.0	1909.0	1424.0	1301.0	2195.0	2025.0	1569.0	1651.0
ENSMUSG00000025917	Cops5	3282.0	4258.0	2866.0	2441.0	4040.0	3394.0	4665.0	3474.0
ENSMUSG00000056763	Cspp1	948.0	1136.0	835.0	713.0	1166.0	1136.0	1289.0	1291.0
ENSMUSG00000067851	Arfgef1	2019.0	2477.0	1996.0	1701.0	2763.0	2373.0	2583.0	2314.0
ENSMUSG00000005886	Ncoa2	3463.0	3901.0	3613.0	2715.0	4075.0	3598.0	4336.0	3184.0
ENSMUSG00000025935	Tram1	5990.0	5779.0	4958.0	4437.0	6004.0	4844.0	6564.0	5375.0
ENSMUSG00000025937	Lactb2	903.0	1120.0	858.0	647.0	1212.0	855.0	1096.0	742.0
ENSMUSG00000054493	Gm9947	17.0	11.0	8.0	7.0	11.0	19.0	21.0	48.0
ENSMUSG00000025930	Msc	45.0	39.0	31.0	8.0	34.0	55.0	48.0	116.0
ENSMUSG00000025925	Terf1	1818.0	2153.0	1678.0	1397.0	2179.0	1871.0	2332.0	1963.0
