gene_id	gene_name	GF1	GF2	GF_noICI1	GF_noICI2	ctrl1	ctrl2	effector1	effector2
ENSMUSG00000042510	AA986860	2.0	5.0	3.0	3.0	3.0	5.0	8.0	1.0
ENSMUSG00000063787	Chchd1	3146.0	3899.0	2705.0	1882.0	4445.0	3222.0	4336.0	2377.0
ENSMUSG00000116891	Gm32679	14.0	11.0	3.0	6.0	8.0	5.0	10.0	4.0
ENSMUSG00000048701	Ccdc6	634.0	707.0	504.0	378.0	758.0	585.0	714.0	394.0
ENSMUSG00000092243	Gm7030	3355.0	3748.0	2520.0	2081.0	4006.0	2716.0	3990.0	2363.0
ENSMUSG00000024242	Map4k3	148.0	199.0	114.0	149.0	176.0	124.0	125.0	122.0
ENSMUSG00000019818	Cd164	6275.0	7550.0	4810.0	4389.0	7416.0	5922.0	7136.0	4360.0
ENSMUSG00000014226	Cacybp	3646.0	5029.0	3461.0	2429.0	5454.0	4242.0	5614.0	3187.0
ENSMUSG00000036223	Ska1	43.0	38.0	36.0	9.0	72.0	46.0	72.0	27.0
ENSMUSG00000038415	Foxq1	10.0	20.0	8.0	3.0	5.0	12.0	18.0	15.0
ENSMUSG00000021870	Slmap	1102.0	1344.0	1104.0	805.0	1416.0	1099.0	1374.0	856.0
ENSMUSG00000107877	Gm43951	2.0	6.0	1.0	0.0	8.0	1.0	4.0	0.0
ENSMUSG00000022236	Ropn1l	18.0	35.0	13.0	9.0	23.0	10.0	22.0	10.0
ENSMUSG00000021070	Bdkrb2	1.0	8.0	1.0	3.0	1.0	5.0	2.0	5.0
ENSMUSG00000084862	Gm16278	26.0	33.0	18.0	15.0	17.0	22.0	29.0	17.0
ENSMUSG00000029291	Rufy3	115.0	149.0	126.0	83.0	165.0	132.0	136.0	89.0
ENSMUSG00000034488	Edil3	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0
ENSMUSG00000008450	Nutf2	3435.0	4434.0	3104.0	2117.0	4848.0	3871.0	5388.0	3169.0
ENSMUSG00000001755	Coasy	352.0	481.0	321.0	241.0	561.0	354.0	576.0	277.0
ENSMUSG00000092558	Med20	770.0	1009.0	661.0	531.0	915.0	689.0	997.0	628.0
ENSMUSG00000040276	Pacsin1	979.0	1071.0	858.0	661.0	994.0	768.0	1671.0	813.0
ENSMUSG00000026833	Olfm1	159.0	283.0	116.0	134.0	249.0	150.0	222.0	190.0
ENSMUSG00000107723	Gm43964	1.0	2.0	3.0	0.0	2.0	0.0	0.0	1.0
ENSMUSG00000032531	Amotl2	7.0	8.0	3.0	6.0	9.0	5.0	6.0	12.0
ENSMUSG00000047539	Fbxo28	697.0	863.0	623.0	455.0	866.0	710.0	948.0	570.0
ENSMUSG00000033099	Nol12	972.0	1336.0	854.0	605.0	1341.0	1080.0	1629.0	974.0
ENSMUSG00000031577	Tti2	364.0	436.0	312.0	226.0	423.0	376.0	463.0	306.0
ENSMUSG00000031808	Slc27a1	215.0	314.0	130.0	155.0	272.0	187.0	227.0	161.0
ENSMUSG00000027340	Slc23a2	309.0	432.0	277.0	244.0	441.0	331.0	418.0	266.0
ENSMUSG00000076928	Trac	15030.0	16791.0	11573.0	10134.0	21357.0	12146.0	18908.0	11099.0
ENSMUSG00000010051	Hyal1	107.0	165.0	95.0	88.0	147.0	102.0	170.0	104.0
ENSMUSG00000068747	Sort1	3.0	2.0	3.0	0.0	0.0	2.0	1.0	0.0
ENSMUSG00000109118	Gm32031	95.0	118.0	86.0	92.0	118.0	95.0	114.0	84.0
ENSMUSG00000021470	Ercc6l2	450.0	492.0	327.0	266.0	522.0	407.0	525.0	398.0
ENSMUSG00000050605	Zfp61	169.0	280.0	165.0	134.0	238.0	202.0	329.0	249.0
ENSMUSG00000110803	Gm20275	757.0	982.0	699.0	478.0	1032.0	868.0	1143.0	710.0
ENSMUSG00000024862	Klc2	313.0	428.0	305.0	223.0	450.0	277.0	430.0	253.0
ENSMUSG00000060131	Atp8b4	3258.0	4013.0	3403.0	2391.0	4888.0	3596.0	4316.0	2283.0
ENSMUSG00000053746	Ptrh1	150.0	180.0	124.0	96.0	224.0	144.0	214.0	139.0
ENSMUSG00000073758	Sh3d21	131.0	202.0	116.0	89.0	191.0	149.0	176.0	107.0
ENSMUSG00000022422	Dscc1	158.0	131.0	102.0	78.0	207.0	189.0	245.0	148.0
ENSMUSG00000020648	Dus4l	185.0	213.0	160.0	114.0	272.0	201.0	279.0	167.0
ENSMUSG00000100672	Gm28404	0.0	0.0	2.0	2.0	0.0	1.0	1.0	0.0
ENSMUSG00000002345	Borcs8	3657.0	4550.0	2834.0	2213.0	4942.0	3271.0	4572.0	2812.0
ENSMUSG00000086767	Gm13070	14.0	11.0	10.0	4.0	7.0	7.0	6.0	5.0
ENSMUSG00000005763	Cd247	6396.0	9842.0	5555.0	4666.0	10090.0	6078.0	13368.0	5950.0
ENSMUSG00000042096	Dao	4.0	8.0	9.0	3.0	7.0	11.0	13.0	3.0
ENSMUSG00000112265	Gm34983	30.0	21.0	21.0	16.0	21.0	17.0	31.0	15.0
ENSMUSG00000020593	Lpin1	515.0	781.0	545.0	374.0	993.0	628.0	781.0	416.0
ENSMUSG00000003380	Rabac1	5626.0	8180.0	5264.0	4087.0	7200.0	5660.0	7296.0	4836.0
ENSMUSG00000103400	Gm15853	39.0	43.0	47.0	17.0	48.0	45.0	49.0	24.0
ENSMUSG00000090035	Galnt4	82.0	125.0	82.0	62.0	88.0	88.0	109.0	63.0
ENSMUSG00000022940	Pigp	2255.0	3146.0	2052.0	1388.0	3036.0	2190.0	3314.0	1875.0
ENSMUSG00000079391	Gm2974	10.0	6.0	8.0	5.0	6.0	4.0	7.0	6.0
ENSMUSG00000022913	Psmg1	367.0	458.0	376.0	256.0	484.0	429.0	542.0	321.0
