gene_id	gene_name	GF1	GF2	GF_noICI1	GF_noICI2	ctrl1	ctrl2	effector1	effector2
ENSMUSG00000042510	AA986860	0.0	0.0	1.0	0.0	2.0	0.0	2.0	2.0
ENSMUSG00000063787	Chchd1	691.0	732.0	399.0	305.0	628.0	337.0	720.0	669.0
ENSMUSG00000116891	Gm32679	3.0	3.0	0.0	2.0	3.0	0.0	2.0	4.0
ENSMUSG00000048701	Ccdc6	148.0	144.0	102.0	55.0	135.0	102.0	159.0	193.0
ENSMUSG00000092243	Gm7030	1214.0	1093.0	575.0	525.0	795.0	495.0	1194.0	1411.0
ENSMUSG00000024242	Map4k3	37.0	49.0	19.0	21.0	28.0	14.0	33.0	34.0
ENSMUSG00000019818	Cd164	2026.0	1937.0	984.0	1051.0	1436.0	1018.0	1991.0	2123.0
ENSMUSG00000014226	Cacybp	1031.0	1078.0	558.0	393.0	846.0	581.0	1167.0	1160.0
ENSMUSG00000036223	Ska1	10.0	11.0	7.0	2.0	5.0	5.0	13.0	9.0
ENSMUSG00000038415	Foxq1	4.0	6.0	2.0	3.0	2.0	0.0	4.0	1.0
ENSMUSG00000021870	Slmap	341.0	235.0	176.0	113.0	258.0	141.0	288.0	315.0
ENSMUSG00000107877	Gm43951	0.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0
ENSMUSG00000022236	Ropn1l	7.0	3.0	3.0	3.0	5.0	2.0	4.0	3.0
ENSMUSG00000021070	Bdkrb2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000084862	Gm16278	7.0	7.0	4.0	0.0	5.0	4.0	6.0	10.0
ENSMUSG00000029291	Rufy3	24.0	31.0	16.0	9.0	27.0	8.0	19.0	34.0
ENSMUSG00000034488	Edil3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000008450	Nutf2	691.0	714.0	408.0	307.0	528.0	385.0	789.0	755.0
ENSMUSG00000001755	Coasy	91.0	76.0	53.0	49.0	55.0	25.0	107.0	77.0
ENSMUSG00000092558	Med20	167.0	160.0	98.0	81.0	143.0	69.0	160.0	175.0
ENSMUSG00000040276	Pacsin1	194.0	167.0	98.0	89.0	121.0	83.0	236.0	160.0
ENSMUSG00000026833	Olfm1	28.0	27.0	9.0	10.0	26.0	13.0	34.0	18.0
ENSMUSG00000107723	Gm43964	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
ENSMUSG00000032531	Amotl2	1.0	4.0	0.0	4.0	0.0	4.0	7.0	6.0
ENSMUSG00000047539	Fbxo28	168.0	176.0	91.0	77.0	146.0	109.0	194.0	206.0
ENSMUSG00000033099	Nol12	167.0	209.0	102.0	81.0	150.0	82.0	250.0	230.0
ENSMUSG00000031577	Tti2	80.0	90.0	39.0	45.0	82.0	43.0	99.0	70.0
ENSMUSG00000031808	Slc27a1	34.0	48.0	13.0	15.0	27.0	14.0	31.0	19.0
ENSMUSG00000027340	Slc23a2	88.0	74.0	34.0	45.0	76.0	46.0	100.0	118.0
ENSMUSG00000076928	Trac	3416.0	2912.0	1709.0	1711.0	2888.0	1431.0	3380.0	3700.0
ENSMUSG00000010051	Hyal1	48.0	53.0	12.0	21.0	27.0	14.0	43.0	35.0
ENSMUSG00000068747	Sort1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ENSMUSG00000109118	Gm32031	18.0	32.0	15.0	17.0	30.0	18.0	27.0	31.0
ENSMUSG00000021470	Ercc6l2	114.0	90.0	59.0	59.0	63.0	57.0	120.0	129.0
ENSMUSG00000050605	Zfp61	39.0	59.0	28.0	27.0	28.0	24.0	36.0	55.0
ENSMUSG00000110803	Gm20275	212.0	214.0	102.0	89.0	170.0	119.0	254.0	280.0
ENSMUSG00000024862	Klc2	62.0	58.0	23.0	29.0	48.0	34.0	83.0	73.0
ENSMUSG00000060131	Atp8b4	1772.0	1594.0	1067.0	886.0	1341.0	781.0	2034.0	1840.0
ENSMUSG00000053746	Ptrh1	30.0	31.0	20.0	16.0	16.0	17.0	34.0	33.0
ENSMUSG00000073758	Sh3d21	24.0	25.0	10.0	9.0	18.0	19.0	31.0	28.0
ENSMUSG00000022422	Dscc1	42.0	40.0	17.0	12.0	27.0	12.0	59.0	38.0
ENSMUSG00000020648	Dus4l	36.0	38.0	22.0	14.0	42.0	16.0	54.0	48.0
ENSMUSG00000100672	Gm28404	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ENSMUSG00000002345	Borcs8	923.0	920.0	499.0	394.0	769.0	448.0	988.0	909.0
ENSMUSG00000086767	Gm13070	1.0	1.0	0.0	1.0	1.0	3.0	3.0	0.0
ENSMUSG00000005763	Cd247	1929.0	2008.0	1039.0	916.0	1586.0	897.0	2615.0	2584.0
ENSMUSG00000042096	Dao	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
ENSMUSG00000112265	Gm34983	10.0	7.0	3.0	1.0	6.0	3.0	7.0	8.0
ENSMUSG00000020593	Lpin1	188.0	134.0	84.0	76.0	131.0	76.0	159.0	228.0
ENSMUSG00000003380	Rabac1	1713.0	1897.0	965.0	845.0	1383.0	766.0	1800.0	1873.0
ENSMUSG00000103400	Gm15853	12.0	10.0	7.0	4.0	4.0	7.0	10.0	14.0
ENSMUSG00000090035	Galnt4	18.0	16.0	8.0	6.0	9.0	4.0	19.0	18.0
ENSMUSG00000022940	Pigp	534.0	503.0	298.0	218.0	404.0	272.0	599.0	480.0
ENSMUSG00000079391	Gm2974	3.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0
ENSMUSG00000022913	Psmg1	116.0	113.0	63.0	58.0	79.0	43.0	102.0	122.0
ENSMUSG00000032243	Itga11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000028910	Mecr	86.0	94.0	56.0	41.0	81.0	39.0	93.0	72.0
ENSMUSG00000026715	Serpinc1	2.0	2.0	1.0	3.0	1.0	0.0	6.0	6.0
ENSMUSG00000117371	Gm50019	4.0	2.0	3.0	1.0	4.0	1.0	2.0	5.0
ENSMUSG00000087652	Gm15918	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ENSMUSG00000112547	Gm47096	24.0	14.0	12.0	9.0	7.0	16.0	24.0	24.0
ENSMUSG00000055733	Nap1l3	11.0	39.0	10.0	5.0	16.0	14.0	20.0	35.0
ENSMUSG00000025758	Plk4	131.0	108.0	51.0	43.0	84.0	56.0	111.0	94.0
ENSMUSG00000078919	Dpm1	1177.0	1198.0	664.0	531.0	895.0	554.0	1259.0	1301.0
ENSMUSG00000018750	Zbtb4	93.0	99.0	43.0	50.0	84.0	54.0	85.0	104.0
ENSMUSG00000024191	Bnip1	70.0	73.0	22.0	32.0	61.0	31.0	71.0	72.0
ENSMUSG00000029462	Vps29	1104.0	1111.0	573.0	479.0	854.0	544.0	1253.0	1229.0
ENSMUSG00000042496	Prdm10	133.0	115.0	82.0	52.0	93.0	60.0	133.0	142.0
ENSMUSG00000034226	Rhov	2.0	1.0	2.0	0.0	1.0	2.0	3.0	3.0
ENSMUSG00000047187	Rab2a	885.0	936.0	518.0	426.0	678.0	558.0	1076.0	1113.0
ENSMUSG00000027985	Lef1	346.0	318.0	190.0	160.0	228.0	157.0	283.0	549.0
ENSMUSG00000055681	Cope	1751.0	1925.0	963.0	787.0	1532.0	895.0	1926.0	1961.0
ENSMUSG00000018654	Ikzf1	965.0	887.0	535.0	467.0	698.0	392.0	975.0	1082.0
ENSMUSG00000115124	Gm49201	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000118026	Gm50335	22.0	21.0	13.0	11.0	19.0	8.0	33.0	31.0
ENSMUSG00000038550	Ciart	47.0	79.0	22.0	30.0	37.0	28.0	62.0	103.0
ENSMUSG00000112852	Gm47767	0.0	0.0	2.0	0.0	0.0	1.0	1.0	2.0
ENSMUSG00000104529	Rbakdn	0.0	1.0	0.0	0.0	0.0	0.0	3.0	2.0
ENSMUSG00000024524	Gnal	11.0	10.0	8.0	9.0	10.0	5.0	16.0	15.0
ENSMUSG00000036368	Rmdn2	31.0	55.0	18.0	17.0	36.0	27.0	46.0	57.0
ENSMUSG00000115439	Gm36107	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0
ENSMUSG00000060534	Dcc	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ENSMUSG00000060260	Pwwp2b	65.0	100.0	48.0	33.0	55.0	31.0	78.0	97.0
ENSMUSG00000042569	Dhrs7b	86.0	108.0	47.0	48.0	76.0	54.0	117.0	115.0
ENSMUSG00000033308	Dpyd	1.0	0.0	2.0	0.0	2.0	2.0	0.0	1.0
ENSMUSG00000006344	Ggt5	1.0	3.0	1.0	1.0	4.0	2.0	3.0	7.0
ENSMUSG00000050075	Gpr171	1288.0	1572.0	718.0	680.0	993.0	601.0	1491.0	1342.0
ENSMUSG00000024981	Acsl5	733.0	653.0	395.0	335.0	549.0	295.0	733.0	669.0
ENSMUSG00000000732	Icosl	32.0	26.0	20.0	7.0	22.0	19.0	15.0	31.0
ENSMUSG00000029364	Wsb2	54.0	67.0	38.0	35.0	44.0	42.0	72.0	63.0
ENSMUSG00000097150	Gm26513	4.0	1.0	3.0	2.0	3.0	0.0	1.0	3.0
ENSMUSG00000039903	Eva1c	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000037949	Ano10	66.0	33.0	31.0	22.0	36.0	23.0	93.0	87.0
ENSMUSG00000037664	Cdkn1c	12.0	9.0	4.0	3.0	7.0	4.0	9.0	23.0
ENSMUSG00000087194	Skint6	1.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0
ENSMUSG00000078651	Aoc2	5.0	2.0	2.0	1.0	2.0	2.0	5.0	6.0
ENSMUSG00000008734	Gprc5b	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ENSMUSG00000087168	Gm15983	2.0	2.0	1.0	0.0	0.0	1.0	1.0	2.0
