gene_id	gene_name	GF1	GF2	GF_noICI1	GF_noICI2	ctrl1	ctrl2	effector1	effector2
ENSMUSG00000042510	AA986860	0.0	1.0	0.0	0.0	0.0	2.0	3.0	1.0
ENSMUSG00000063787	Chchd1	81.0	84.0	182.0	21.0	182.0	55.0	111.0	36.0
ENSMUSG00000116891	Gm32679	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ENSMUSG00000048701	Ccdc6	265.0	161.0	400.0	54.0	427.0	92.0	246.0	94.0
ENSMUSG00000092243	Gm7030	348.0	221.0	518.0	79.0	515.0	127.0	323.0	126.0
ENSMUSG00000024242	Map4k3	63.0	68.0	100.0	19.0	103.0	22.0	49.0	32.0
ENSMUSG00000019818	Cd164	648.0	424.0	1089.0	167.0	1001.0	222.0	522.0	186.0
ENSMUSG00000014226	Cacybp	147.0	150.0	311.0	45.0	341.0	66.0	209.0	64.0
ENSMUSG00000036223	Ska1	10.0	5.0	22.0	2.0	15.0	7.0	11.0	4.0
ENSMUSG00000038415	Foxq1	2.0	1.0	2.0	0.0	2.0	1.0	0.0	0.0
ENSMUSG00000021870	Slmap	469.0	359.0	950.0	112.0	802.0	198.0	496.0	216.0
ENSMUSG00000107877	Gm43951	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0
ENSMUSG00000022236	Ropn1l	3.0	2.0	0.0	0.0	4.0	4.0	0.0	1.0
ENSMUSG00000021070	Bdkrb2	0.0	1.0	1.0	0.0	4.0	0.0	3.0	1.0
ENSMUSG00000084862	Gm16278	4.0	6.0	4.0	1.0	3.0	2.0	3.0	3.0
ENSMUSG00000029291	Rufy3	41.0	38.0	115.0	15.0	91.0	39.0	54.0	20.0
ENSMUSG00000034488	Edil3	2.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0
ENSMUSG00000008450	Nutf2	126.0	109.0	257.0	34.0	270.0	66.0	162.0	51.0
ENSMUSG00000001755	Coasy	16.0	22.0	45.0	7.0	52.0	11.0	20.0	7.0
ENSMUSG00000092558	Med20	86.0	74.0	147.0	22.0	128.0	35.0	89.0	46.0
ENSMUSG00000040276	Pacsin1	62.0	52.0	127.0	27.0	108.0	27.0	115.0	43.0
ENSMUSG00000026833	Olfm1	13.0	6.0	10.0	1.0	14.0	8.0	8.0	4.0
ENSMUSG00000107723	Gm43964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
