gene_id	gene_name	GF1	GF2	GF_noICI1	GF_noICI2	ctrl1	ctrl2	effector1	effector2
ENSMUSG00000042510	AA986860	0.0	2.0	2.0	1.0	1.0	1.0	0.0	8.0
ENSMUSG00000063787	Chchd1	547.0	841.0	836.0	1004.0	771.0	1221.0	533.0	1208.0
ENSMUSG00000116891	Gm32679	5.0	1.0	0.0	0.0	0.0	3.0	2.0	0.0
ENSMUSG00000048701	Ccdc6	84.0	139.0	106.0	160.0	126.0	227.0	80.0	200.0
ENSMUSG00000092243	Gm7030	473.0	719.0	644.0	1085.0	589.0	1287.0	505.0	1219.0
ENSMUSG00000024242	Map4k3	39.0	70.0	56.0	83.0	48.0	146.0	46.0	124.0
ENSMUSG00000019818	Cd164	1001.0	1648.0	1371.0	2337.0	1213.0	3012.0	1031.0	2720.0
ENSMUSG00000014226	Cacybp	804.0	1350.0	1313.0	1649.0	1116.0	2409.0	808.0	2257.0
ENSMUSG00000036223	Ska1	2.0	9.0	10.0	5.0	5.0	4.0	1.0	15.0
ENSMUSG00000038415	Foxq1	1.0	6.0	1.0	31.0	8.0	34.0	5.0	10.0
ENSMUSG00000021870	Slmap	267.0	358.0	396.0	496.0	300.0	696.0	222.0	631.0
ENSMUSG00000107877	Gm43951	0.0	2.0	1.0	1.0	0.0	0.0	1.0	0.0
ENSMUSG00000022236	Ropn1l	1.0	4.0	5.0	5.0	2.0	10.0	6.0	7.0
ENSMUSG00000021070	Bdkrb2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
ENSMUSG00000084862	Gm16278	7.0	3.0	4.0	14.0	2.0	16.0	5.0	14.0
ENSMUSG00000029291	Rufy3	26.0	26.0	32.0	43.0	27.0	49.0	26.0	46.0
ENSMUSG00000034488	Edil3	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0
ENSMUSG00000008450	Nutf2	597.0	932.0	993.0	1142.0	735.0	1443.0	573.0	1556.0
ENSMUSG00000001755	Coasy	57.0	86.0	92.0	130.0	98.0	152.0	54.0	146.0
ENSMUSG00000092558	Med20	127.0	231.0	248.0	359.0	162.0	457.0	147.0	382.0
ENSMUSG00000040276	Pacsin1	192.0	276.0	344.0	604.0	324.0	653.0	245.0	473.0
ENSMUSG00000026833	Olfm1	12.0	6.0	7.0	7.0	9.0	8.0	7.0	9.0
ENSMUSG00000107723	Gm43964	0.0	1.0	0.0	2.0	1.0	1.0	1.0	2.0
ENSMUSG00000032531	Amotl2	0.0	0.0	0.0	0.0	3.0	1.0	0.0	1.0
ENSMUSG00000047539	Fbxo28	153.0	184.0	188.0	285.0	212.0	423.0	161.0	317.0
ENSMUSG00000033099	Nol12	135.0	261.0	208.0	293.0	186.0	349.0	175.0	414.0
ENSMUSG00000031577	Tti2	72.0	114.0	99.0	182.0	93.0	190.0	71.0	183.0
ENSMUSG00000031808	Slc27a1	20.0	16.0	14.0	21.0	23.0	40.0	7.0	29.0
ENSMUSG00000027340	Slc23a2	60.0	160.0	97.0	216.0	104.0	291.0	99.0	243.0
ENSMUSG00000076928	Trac	1575.0	2329.0	2306.0	3269.0	2356.0	3374.0	1587.0	3691.0
ENSMUSG00000010051	Hyal1	21.0	49.0	42.0	57.0	29.0	74.0	21.0	74.0
ENSMUSG00000068747	Sort1	0.0	1.0	0.0	1.0	0.0	5.0	0.0	6.0
ENSMUSG00000109118	Gm32031	29.0	49.0	39.0	96.0	39.0	124.0	34.0	68.0
ENSMUSG00000021470	Ercc6l2	63.0	81.0	111.0	189.0	90.0	243.0	75.0	183.0
ENSMUSG00000050605	Zfp61	25.0	48.0	26.0	44.0	26.0	55.0	36.0	71.0
ENSMUSG00000110803	Gm20275	109.0	187.0	147.0	217.0	158.0	223.0	182.0	332.0
ENSMUSG00000024862	Klc2	39.0	59.0	74.0	79.0	56.0	81.0	45.0	94.0
ENSMUSG00000060131	Atp8b4	971.0	1541.0	1520.0	2047.0	1209.0	2591.0	1051.0	2242.0
ENSMUSG00000053746	Ptrh1	14.0	25.0	21.0	29.0	24.0	20.0	15.0	37.0
ENSMUSG00000073758	Sh3d21	9.0	12.0	9.0	18.0	16.0	40.0	8.0	41.0
ENSMUSG00000022422	Dscc1	31.0	32.0	33.0	33.0	20.0	14.0	15.0	63.0
ENSMUSG00000020648	Dus4l	44.0	74.0	64.0	95.0	64.0	145.0	51.0	129.0
ENSMUSG00000100672	Gm28404	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
ENSMUSG00000002345	Borcs8	409.0	728.0	569.0	919.0	628.0	948.0	433.0	1071.0
ENSMUSG00000086767	Gm13070	0.0	4.0	2.0	4.0	3.0	0.0	1.0	0.0
ENSMUSG00000005763	Cd247	1444.0	2075.0	2064.0	3290.0	1912.0	4368.0	1646.0	4124.0
ENSMUSG00000042096	Dao	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000112265	Gm34983	4.0	4.0	6.0	4.0	4.0	5.0	2.0	5.0
ENSMUSG00000020593	Lpin1	167.0	212.0	237.0	364.0	167.0	322.0	187.0	398.0
ENSMUSG00000003380	Rabac1	1646.0	2783.0	2683.0	3844.0	2310.0	5233.0	1889.0	4092.0
ENSMUSG00000103400	Gm15853	6.0	11.0	11.0	24.0	10.0	24.0	13.0	19.0
ENSMUSG00000090035	Galnt4	18.0	26.0	12.0	43.0	25.0	51.0	20.0	43.0
ENSMUSG00000022940	Pigp	312.0	443.0	476.0	658.0	379.0	789.0	312.0	704.0
ENSMUSG00000079391	Gm2974	2.0	1.0	4.0	3.0	0.0	2.0	1.0	5.0
ENSMUSG00000022913	Psmg1	113.0	198.0	191.0	260.0	159.0	263.0	116.0	295.0
ENSMUSG00000032243	Itga11	1.0	0.0	0.0	1.0	1.0	1.0	2.0	2.0
ENSMUSG00000028910	Mecr	96.0	142.0	166.0	175.0	136.0	205.0	107.0	210.0
ENSMUSG00000026715	Serpinc1	2.0	6.0	6.0	8.0	7.0	13.0	7.0	9.0
ENSMUSG00000117371	Gm50019	2.0	3.0	3.0	6.0	3.0	7.0	1.0	9.0
ENSMUSG00000087652	Gm15918	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
ENSMUSG00000112547	Gm47096	22.0	19.0	29.0	47.0	25.0	64.0	21.0	45.0
ENSMUSG00000055733	Nap1l3	7.0	2.0	4.0	2.0	4.0	7.0	6.0	16.0
ENSMUSG00000025758	Plk4	62.0	87.0	83.0	110.0	69.0	128.0	56.0	137.0
ENSMUSG00000078919	Dpm1	803.0	1380.0	1221.0	1888.0	1006.0	2592.0	961.0	2423.0
ENSMUSG00000018750	Zbtb4	92.0	127.0	133.0	200.0	110.0	273.0	88.0	192.0
ENSMUSG00000024191	Bnip1	30.0	71.0	78.0	85.0	63.0	114.0	48.0	100.0
ENSMUSG00000029462	Vps29	607.0	1097.0	959.0	1239.0	811.0	1501.0	712.0	1613.0
ENSMUSG00000042496	Prdm10	72.0	130.0	105.0	184.0	109.0	271.0	89.0	195.0
ENSMUSG00000034226	Rhov	1.0	1.0	1.0	1.0	3.0	2.0	1.0	3.0
ENSMUSG00000047187	Rab2a	768.0	1336.0	1125.0	1673.0	924.0	2700.0	838.0	2200.0
ENSMUSG00000027985	Lef1	2269.0	3075.0	3521.0	7454.0	3448.0	13051.0	2190.0	6586.0
ENSMUSG00000055681	Cope	951.0	1646.0	1438.0	1843.0	1366.0	2124.0	1023.0	2312.0
ENSMUSG00000018654	Ikzf1	1266.0	1661.0	1846.0	2773.0	1798.0	3430.0	1125.0	2734.0
